threshold,n_retained,irr_window_pm10,ci_lower_window_pm10,ci_upper_window_pm10,p_window_pm10,irr_window_pm4,ci_lower_window_pm4,ci_upper_window_pm4,p_window_pm4,irr_window_pm1,ci_lower_window_pm1,ci_upper_window_pm1,p_window_pm1,irr_d_plus_1,ci_lower_d_plus_1,ci_upper_d_plus_1,p_d_plus_1,irr_d_minus_1,ci_lower_d_minus_1,ci_upper_d_minus_1,p_d_minus_1
0.0,107875,1.1202174165010261,0.9122495629685297,1.3755962306506733,0.27861210190785146,1.1876413780702955,0.9545127022174575,1.4777090337592715,0.12297331824017564,1.2960928294762832,0.9769305507479447,1.7195251201159878,0.07215389393351686,1.1131139250647193,0.746653855305555,1.6594337541670328,0.5989006631693872,1.7895314464715069,1.1397834063454968,2.809676628104611,0.011457799384049049
0.05,105082,1.1209468608987958,0.9128345212690765,1.3765056378586267,0.27588837540157596,1.1898680104412176,0.9562927844706853,1.4804941595946355,0.11896277876797787,1.31185432307305,0.9888025707887047,1.7404503343804505,0.0598503111703624,1.1212866110579727,0.752125723094568,1.6716402930149348,0.5742052196951357,1.8118907277261431,1.1540149684374017,2.8448053959518913,0.009813876432258818
0.1,65177,1.0606952664233955,0.8635641572719078,1.3028267080551714,0.5743270062637515,1.139285002426742,0.9154134273185441,1.4179061372920365,0.2427227740949145,1.5716595744680808,1.1843909684341623,2.0855561076110125,0.0017339187509505846,1.1680653184217666,0.7832048404909778,1.7420430997903922,0.4462105495610802,2.2238794839287137,1.4161470257887916,3.4923209730178466,0.0005185292564045158
0.15,52376,1.0999813163240943,0.8954107521770414,1.3512892192999408,0.36404315446724345,1.2201473114075714,0.9802441468105356,1.5187639389423222,0.07485920721225434,1.6302405770156345,1.22835670725759,2.163609579567301,0.0007139557657916063,1.2906161534966583,0.8652369382380409,1.9251259187552754,0.21112971194935737,2.19060760613895,1.3946987789620937,3.440715483844449,0.000663772307048783
0.2,23991,1.0936750400437567,0.8894445098497732,1.3448001308330497,0.39584774276789236,1.1945383867014296,0.9587561823226953,1.4883053518845368,0.11307410453201025,1.6091677269300746,1.2113002900868775,2.13771993170049,0.0010278327241264875,1.477032520325203,0.9890232162572861,2.205838073603613,0.056646834999444465,2.045999897891471,1.3010912509132866,3.2173881572360985,0.0019381844249822461
0.25,15136,0.9699147022984154,0.7880351747463438,1.1937722577389156,0.7731120505194271,1.097987354252789,0.8803691365566856,1.3693985625328817,0.4068611134799819,1.454428065148544,1.093588195315519,1.9343304963907544,0.010027056277964892,1.3478459138365526,0.9010640946207055,2.016159137059623,0.14625083231595234,1.7003883495145609,1.0795287609026778,2.6783172842446503,0.022016271389305734
0.3,9187,1.1265202359162112,0.9137329346834108,1.3888607860768576,0.2647039365222684,1.2528442085642932,1.0029037029007826,1.5650741007268698,0.047088514006112095,1.7079315732802265,1.2822947519155932,2.2748515929350717,0.0002519985352220777,1.4618491606113744,0.9751146189841765,2.1915402833426887,0.06606534630785552,1.9386159259741982,1.2285430615595625,3.0590964419838453,0.004449943289063979
0.35,5166,1.0244468175502663,0.8281611451287794,1.2672549154979644,0.8238779944091136,1.092524399419289,0.8714129386573058,1.3697404644526174,0.4430888846429961,1.3781570059208819,1.0302634517583633,1.843525294163568,0.03070927672152332,1.0884381970019186,0.7204352724541118,1.6444193586707634,0.6873057113834848,1.897444751381215,1.197189946315425,3.007289357569953,0.006412163854264766
0.4,3767,0.9522321291785398,0.7675307420129746,1.1813807294048002,0.6563942400349143,0.9833695962648603,0.7817361219456397,1.23701046390352,0.8861002875570075,1.2692902093146898,0.9452646320834033,1.7043879362239562,0.11281772213484084,1.0416320326786508,0.6854089434561083,1.5829926088084934,0.8485151966642576,1.6737221699592375,1.0506200278432682,2.6663739772443824,0.030173728015103693
0.45,2800,0.9284872857258909,0.7457389422644587,1.156019339873648,0.507010633805697,0.9834437712092702,0.7788861450186079,1.2417240405620589,0.8884097662979107,1.2741932809339027,0.945039820844937,1.7179895295052336,0.11201041963362468,0.9812684225539592,0.640609069336547,1.503081619026654,0.9307417823202235,1.798857868020302,1.124790554865876,2.876881936232479,0.014252983018241717
0.5,2004,1.1423115452041073,0.9128040210448146,1.429524450180453,0.24494905608340156,1.1674910766982383,0.9203036983509421,1.4810713209263249,0.20204041774465098,1.5354260306413396,1.1341290373057429,2.07871681089448,0.005532426913916308,1.1535310797984888,0.7486053806967637,1.777483820410937,0.5173428365850219,2.1465256797583083,1.336767844474234,3.4468008135504475,0.0015713405911405372
0.55,1551,1.1851851851851851,0.9421158014329518,1.4909673747600427,0.14683616383785741,1.2330963154492565,0.9671241977244107,1.5722143306436198,0.09097191596337699,1.636000442149479,1.2025828245456396,2.2256242082324147,0.0017204134052650891,1.233801831224121,0.795102113045936,1.9145552926533949,0.34865873897464605,2.26115896632733,1.4007176573934697,3.650157363273856,0.0008403790070033823
0.6,1198,1.2424242424242422,0.981049288896092,1.5734357240097285,0.07167107702464541,1.307180056347648,1.0187312258938446,1.6773017811580215,0.03521687268664042,1.7525195968645018,1.2805764844965473,2.3983924229262987,0.0004567529792490569,1.2452488687782792,0.7938321908853353,1.9533659166230084,0.3396554995445925,2.3274111675126954,1.4314354555167628,3.7842032777560837,0.0006586853881516095
0.65,1025,1.3121932063616735,1.030979268000368,1.6701121586676901,0.02725216044742975,1.3829302155644858,1.0728540991994355,1.7826244803914542,0.012319708900519791,1.850975753991722,1.3468928116380117,2.54371484669117,0.00014708887448830187,1.347578347578348,0.8549781891189223,2.123992665512782,0.19878075129408923,2.3333333333333424,1.4268137006402317,3.8158061154034955,0.0007345345958317103
0.7,838,1.3050397877984086,1.017567665794665,1.673725399290144,0.03598078275524395,1.37461394814336,1.058295999761689,1.7854773209534711,0.017097005233686534,1.9296098638203911,1.3944756808517886,2.6701033784100017,7.293326438448874e-05,1.484892086330936,0.9352640018245404,2.357520982040202,0.09369827873716553,2.3933823529411775,1.451654335124219,3.946035188108383,0.0006240849777593732
0.75,642,1.3206187751642298,1.017310897614578,1.714356892672373,0.03671874253484125,1.4261363636363633,1.0852023329036096,1.8741803864760056,0.010879072828383537,2.167931649454607,1.551902168980204,3.028494792165553,5.715344770678404e-06,1.581666909975949,0.9820093749939803,2.5475013557056947,0.05938782993443822,2.7054794520548118,1.626076396419984,4.501399246435092,0.00012730380389533273
0.8,397,1.334194214948687,0.9982053616326875,1.7832745361044877,0.05143540241133348,1.406162464985995,1.0392269102744527,1.902657502790512,0.027149722049463896,2.30759778824493,1.608653783751197,3.3102259828063088,5.5620939601120885e-06,1.4032634032900397,0.826426839417799,2.3827253485624564,0.20976406943317605,3.1715210355987598,1.8612004802980884,5.4043321961933195,2.191946165710682e-05
0.85,118,1.863636363652795,1.2175609414114248,2.8525393496138833,0.004152724869505396,2.3826641767818133,1.5557504348682472,3.649099786239261,6.549009950976708e-05,5.396551724137926,3.400503507300902,8.564252455193547,8.421896748518926e-13,1.3994082840240236,0.6688181915193493,2.928065609199875,0.3723290595291019,8.301282054247801,4.570640563019714,15.07694223468943,3.625673669804467e-12
0.9,29,0.8770053475874896,0.40733268281120916,1.8882314436171437,0.7373061951616213,1.2889822595689397,0.5901875099122205,2.8151650747921844,0.524175973647077,2.8901200369344675,1.2778933578799077,6.536377841221285,0.010806839085385734,1.5266272193525583,0.43311643016792545,5.38097958085894,0.5104211440385455,2.7999999999999914,0.8886800903305827,8.822072290472411,0.07867778289763479
